"","Assay_Type_s","AssemblyName_s","BioSample_s","Experiment_s","InsertSize_l","LibraryLayout_s","MBases_l","Run_s","SRA_Sample_s","Sample_Name_s","body_site_s","gap_sample_id_s","gap_subject_id_s"
"35","RNA-Seq","GRCh37","SAMN00992693","SRX198318",204,"PAIRED",14090,"SRR598792","SRS333205","GTEX-QDVN-0926-SM-2I5GL","Pancreas",736447,590968
"36","RNA-Seq","GRCh37","SAMN00992726","SRX198329",173,"PAIRED",25003,"SRR598831","SRS333238","GTEX-Q2AG-0005-SM-2HMK3","Whole Blood",736365,590962
"37","RNA-Seq","GRCh37","SAMN00992466","SRX198338",169,"PAIRED",8085,"SRR598862","SRS332978","GTEX-Q2AG-0011-R8A-SM-2HMK5","Brain - Hypothalamus",736385,590962
"38","RNA-Seq","GRCh37","SAMN00992450","SRX198284",0,"SINGLE",8915,"SRR598894","SRS332962","GTEX-OHPN-0011-R7A-SM-2I5FI","Brain - Putamen (basal ganglia)",736045,590933
"39","RNA-Seq","GRCh37","SAMN00992539","SRX198134",0,"SINGLE",12316,"SRR599025","SRS333051","GTEX-QMRM-0526-SM-2I5GA","Heart - Left Ventricle",736488,590974
"40","RNA-Seq","GRCh37","SAMN00992642","SRX198140",183,"PAIRED",7419,"SRR599059","SRS333154","GTEX-OIZG-0526-SM-2HMLF","Lung",736074,590935
"41","RNA-Seq","GRCh37","SAMN00992965","SRX198210",0,"SINGLE",9985,"SRR599086","SRS333477","GTEX-PSDG-0926-SM-2I5FP","Heart - Left Ventricle",736304,590955
"42","RNA-Seq","GRCh37","SAMN00992647","SRX198267",180,"PAIRED",8675,"SRR599122","SRS333159","GTEX-P44G-0626-SM-2I5EO","Thyroid",736196,590944
"43","RNA-Seq","GRCh37","SAMN00993031","SRX198237",173,"PAIRED",17560,"SRR599154","SRS333543","GTEX-QMRM-0826-SM-2I5G7","Lung",736492,590974
"44","RNA-Seq","GRCh37","SAMN00992420","SRX198273",167,"PAIRED",12326,"SRR599192","SRS332932","GTEX-N7MT-0011-R5a-SM-2I3G6","Brain - Caudate (basal ganglia)",735848,590921
"45","RNA-Seq","GRCh37","SAMN00992609","SRX198231",169,"PAIRED",7669,"SRR599225","SRS333121","GTEX-P44G-0011-R11A-SM-2I3FD","Brain - Cerebellar Hemisphere",736182,590944
"46","RNA-Seq","GRCh37","SAMN00992896","SRX198252",188,"PAIRED",11006,"SRR599249","SRS333408","GTEX-QESD-0526-SM-2I5G5","Heart - Left Ventricle",736473,590971
"47","RNA-Seq","GRCh37","SAMN00992461","SRX198243",0,"SINGLE",8789,"SRR599281","SRS332973","GTEX-OXRO-0006-SM-2I5EM","Whole Blood",736158,590942
"48","RNA-Seq","GRCh37","SAMN00992487","SRX198248",173,"PAIRED",15153,"SRR599313","SRS332999","GTEX-QDVN-2126-SM-2I3FR","Adipose - Subcutaneous",736449,590968
"49","RNA-Seq","GRCh37","SAMN00993002","SRX198253",176,"PAIRED",14154,"SRR599346","SRS333514","GTEX-P78B-0526-SM-2I5F7","Thyroid",736264,590950
"50","RNA-Seq","GRCh37","SAMN00992769","SRX198277",0,"SINGLE",12000,"SRR599380","SRS333281","GTEX-QLQ7-0526-SM-2I5G3","Heart - Left Ventricle",736479,590972
"51","RNA-Seq","GRCh37","SAMN00992786","SRX198263",176,"PAIRED",17088,"SRR599412","SRS333298","GTEX-QMRM-0726-SM-2I5G8","Thyroid",736490,590974
"52","RNA-Seq","GRCh37","SAMN00992868","SRX198280",163,"PAIRED",6765,"SRR599448","SRS333380","GTEX-NL3H-0011-R4a-SM-2I3GK","Brain - Amygdala",735885,590923
"53","RNA-Seq","GRCh37","SAMN00993029","SRX198334",171,"PAIRED",5566,"SRR599486","SRS333541","GTEX-N7MT-0011-R2a-SM-2I3GI","Brain - Substantia nigra",735842,590921
"54","RNA-Seq","GRCh37","SAMN00992478","SRX198348",0,"SINGLE",23970,"SRR599510","SRS332990","GTEX-OHPN-0011-R10A-SM-2I5FL","Brain - Frontal Cortex (BA9)",736029,590933
"55","RNA-Seq","GRCh37","SAMN00992960","SRX198968",181,"PAIRED",7519,"SRR600348","SRS333472","GTEX-NPJ7-0011-R6a-SM-2I3G7","Brain - Nucleus accumbens (basal ganglia)",735925,590925
"56","RNA-Seq","GRCh37","SAMN00992531","SRX198976",170,"PAIRED",6480,"SRR600361","SRS333043","GTEX-N7MT-0011-R10A-SM-2I3E1","Brain - Frontal Cortex (BA9)",735835,590921
"57","RNA-Seq","GRCh37","SAMN00992695","SRX198979",188,"PAIRED",10419,"SRR600385","SRS333207","GTEX-PWO3-0011-R3A-SM-2I5EX","Brain - Anterior cingulate cortex (BA24)",736332,590959
"58","RNA-Seq","GRCh37","SAMN00992732","SRX198986",194,"PAIRED",14919,"SRR600417","SRS333244","GTEX-Q2AI-0526-SM-2I3EJ","Lung",736413,590964
"59","RNA-Seq","GRCh37","SAMN00992430","SRX198992",197,"PAIRED",8298,"SRR600445","SRS332942","GTEX-Q2AG-0011-R4A-SM-2HMKA","Brain - Amygdala",736377,590962
"60","RNA-Seq","GRCh37","SAMN00992937","SRX198998",188,"PAIRED",7124,"SRR600474","SRS333449","GTEX-PX3G-0326-SM-2I3EO","Heart - Left Ventricle",736358,590961
"61","RNA-Seq","GRCh37","SAMN00992437","SRX199002",0,"SINGLE",24824,"SRR600493","SRS332949","GTEX-PSDG-0226-SM-2I5FR","Skin - Sun Exposed (Lower leg)",736300,590955
"62","RNA-Seq","GRCh37","SAMN00992522","SRX198971",166,"PAIRED",11149,"SRR600533","SRS333034","GTEX-NL3H-0011-R7a-SM-2I3G5","Brain - Putamen (basal ganglia)",735891,590923
"63","RNA-Seq","GRCh37","SAMN00992795","SRX198997",176,"PAIRED",7993,"SRR600560","SRS333307","GTEX-N7MS-0011-R6a-SM-2HMJ4","Brain - Nucleus accumbens (basal ganglia)",735821,590920
"64","RNA-Seq","GRCh37","SAMN00992710","SRX199007",203,"PAIRED",7741,"SRR600584","SRS333222","GTEX-OHPL-0526-SM-2HMIX","Lung",736012,590931
"65","RNA-Seq","GRCh37","SAMN00992575","SRX199011",175,"PAIRED",8632,"SRR600608","SRS333087","GTEX-NL3H-0011-R3a-SM-2I3GL","Brain - Anterior cingulate cortex (BA24)",735883,590923
"66","RNA-Seq","GRCh37","SAMN00992816","SRX198983",192,"PAIRED",9014,"SRR600632","SRS333328","GTEX-P4PP-0526-SM-2HMKE","Lung",736210,590945
"67","RNA-Seq","GRCh37","SAMN00992970","SRX199016",0,"SINGLE",10320,"SRR600656","SRS333482","GTEX-QEG5-0426-SM-2I5GJ","Muscle - Skeletal",736462,590970
"68","RNA-Seq","GRCh37","SAMN00992919","SRX199019",188,"PAIRED",21817,"SRR600688","SRS333431","GTEX-O5YV-0006-SM-2I5GX","Whole Blood",735968,590927
"69","RNA-Seq","GRCh37","SAMN00992738","SRX199028",173,"PAIRED",15152,"SRR600724","SRS333250","GTEX-NPJ8-0011-R1a-SM-2HMLC","Brain - Hippocampus",735938,590926
"70","RNA-Seq","GRCh37","SAMN00992496","SRX199042",168,"PAIRED",6293,"SRR600754","SRS333008","GTEX-N7MT-0011-R11A-SM-2I3DZ","Brain - Cerebellar Hemisphere",735837,590921
"71","RNA-Seq","GRCh37","SAMN00992516","SRX199044",219,"PAIRED",5406,"SRR600784","SRS333028","GTEX-N7MT-0126-SM-2D7VT","Lung",735856,590921
"72","RNA-Seq","GRCh37","SAMN00993054","SRX199051",181,"PAIRED",14086,"SRR600786","SRS333566","GTEX-P44G-0226-SM-2I3F3","Skin - Sun Exposed (Lower leg)",736193,590944
"73","RNA-Seq","GRCh37","SAMN00992979","SRX199055",173,"PAIRED",15931,"SRR600829","SRS333491","GTEX-QEG4-0426-SM-2I5GK","Heart - Left Ventricle",736454,590969
"74","RNA-Seq","GRCh37","SAMN00992697","SRX199060",188,"PAIRED",7098,"SRR600852","SRS333209","GTEX-OXRL-0326-SM-2I3F2","Heart - Left Ventricle",736132,590940
"75","RNA-Seq","GRCh37","SAMN00993070","SRX199063",174,"PAIRED",7486,"SRR600876","SRS333582","GTEX-Q2AG-2826-SM-2HMJQ","Brain - Cerebellum",736395,590962
"76","RNA-Seq","GRCh37","SAMN00992644","SRX199067",185,"PAIRED",7298,"SRR600900","SRS333156","GTEX-PX3G-0526-SM-2I3EM","Lung",736360,590961
"77","RNA-Seq","GRCh37","SAMN00992544","SRX199073",173,"PAIRED",19602,"SRR600924","SRS333056","GTEX-OHPM-0326-SM-2HMKT","Heart - Left Ventricle",736021,590932
"78","RNA-Seq","GRCh37","SAMN00992869","SRX199080",169,"PAIRED",8095,"SRR600957","SRS333381","GTEX-NPJ7-0011-R11A-SM-2I3E8","Brain - Cerebellar Hemisphere",735916,590925
"79","RNA-Seq","GRCh37","SAMN00993025","SRX199088",208,"PAIRED",8171,"SRR600981","SRS333537","GTEX-OHPL-1626-SM-2HMIR","Muscle - Skeletal",736014,590931
"80","RNA-Seq","GRCh37","SAMN00992967","SRX199090",182,"PAIRED",9336,"SRR601006","SRS333479","GTEX-PWO3-0926-SM-2I5EY","Brain - Cortex",736340,590959
"81","RNA-Seq","GRCh37","SAMN00992653","SRX199093",173,"PAIRED",12057,"SRR601038","SRS333165","GTEX-PWCY-0005-SM-2I3E2","Whole Blood",736314,590957
"82","RNA-Seq","GRCh37","SAMN00992424","SRX199102",173,"PAIRED",27073,"SRR601068","SRS332936","GTEX-Q2AG-0126-SM-2HMLB","Skin - Sun Exposed (Lower leg)",736389,590962
"83","RNA-Seq","GRCh37","SAMN00992879","SRX199104",164,"PAIRED",7978,"SRR601098","SRS333391","GTEX-NPJ7-2826-SM-2I3FU","Brain - Cerebellum",735933,590925
"84","RNA-Seq","GRCh37","SAMN00992502","SRX199111",168,"PAIRED",9218,"SRR601122","SRS333014","GTEX-NL4W-0011-R6a-SM-2I3GA","Brain - Nucleus accumbens (basal ganglia)",735908,590924
"85","RNA-Seq","GRCh37","SAMN00992784","SRX199118",180,"PAIRED",6493,"SRR601157","SRS333296","GTEX-PWN1-2626-SM-2I3FH","Thyroid",736324,590958
"86","RNA-Seq","GRCh37","SAMN00993112","SRX199119",175,"PAIRED",12314,"SRR601169","SRS333624","GTEX-PWO3-0011-R8A-SM-2I5GD","Brain - Hypothalamus",736338,590959
"87","RNA-Seq","GRCh37","SAMN00992774","SRX199127",164,"PAIRED",10286,"SRR601201","SRS333286","GTEX-OHPN-0011-R6A-SM-2I5FH","Brain - Nucleus accumbens (basal ganglia)",736043,590933
"88","RNA-Seq","GRCh37","SAMN00992925","SRX199155",193,"PAIRED",7051,"SRR601239","SRS333437","GTEX-Q2AH-0526-SM-2I3ED","Heart - Left Ventricle",736404,590963
"89","RNA-Seq","GRCh37","SAMN00992976","SRX199066",199,"PAIRED",6542,"SRR601263","SRS333488","GTEX-OOBJ-0006-SM-2I3F4","Whole Blood",736097,590937
"90","RNA-Seq","GRCh37","SAMN00993065","SRX199071",168,"PAIRED",7863,"SRR601287","SRS333577","GTEX-N7MT-0011-R7a-SM-2I3FZ","Brain - Putamen (basal ganglia)",735852,590921
"91","RNA-Seq","GRCh37","SAMN00992578","SRX199083",181,"PAIRED",6709,"SRR601311","SRS333090","GTEX-PWOO-0726-SM-2I3EB","Lung",736348,590960
"92","RNA-Seq","GRCh37","SAMN00993047","SRX199124",186,"PAIRED",8398,"SRR601335","SRS333559","GTEX-P4PQ-0005-SM-2HMKJ","Whole Blood",736218,590946
"93","RNA-Seq","GRCh37","SAMN00992877","SRX199228",179,"PAIRED",8564,"SRR601359","SRS333389","GTEX-OHPK-2626-SM-2HMK9","Thyroid",736005,590930
"94","RNA-Seq","GRCh37","SAMN00992959","SRX199230",210,"PAIRED",7790,"SRR601387","SRS333471","GTEX-OXRK-1826-SM-2HMJE","Muscle - Skeletal",736127,590939
"95","RNA-Seq","GRCh37","SAMN00992826","SRX199240",185,"PAIRED",9697,"SRR601445","SRS333338","GTEX-OXRN-0526-SM-2I5EN","Lung",736150,590941
"96","RNA-Seq","GRCh37","SAMN00992921","SRX199250",183,"PAIRED",7164,"SRR601477","SRS333433","GTEX-P4QT-0526-SM-2I3EX","Lung",736253,590949
"97","RNA-Seq","GRCh37","SAMN00992906","SRX199254",177,"PAIRED",7746,"SRR601500","SRS333418","GTEX-P44G-0011-R10A-SM-2I3FF","Brain - Frontal Cortex (BA9)",736180,590944
"98","RNA-Seq","GRCh37","SAMN00992806","SRX199266",186,"PAIRED",13046,"SRR601525","SRS333318","GTEX-PX3G-2626-SM-2I3EG","Thyroid",736362,590961
"99","RNA-Seq","GRCh37","SAMN00992587","SRX199272",183,"PAIRED",9876,"SRR601549","SRS333099","GTEX-PLZ4-1226-SM-2I5FE","Thyroid",736274,590951
"100","RNA-Seq","GRCh37","SAMN00993000","SRX199181",215,"PAIRED",10363,"SRR601581","SRS333512","GTEX-QEG4-0006-SM-2I5FY","Whole Blood",736452,590969
"101","RNA-Seq","GRCh37","SAMN00993093","SRX199278",188,"PAIRED",10212,"SRR601613","SRS333605","GTEX-P78B-0426-SM-2I5F5","Heart - Left Ventricle",736262,590950
"102","RNA-Seq","GRCh37","SAMN00992500","SRX199195",190,"PAIRED",8899,"SRR601645","SRS333012","GTEX-P4PQ-0326-SM-2HMJ8","Heart - Left Ventricle",736222,590946
"103","RNA-Seq","GRCh37","SAMN00992953","SRX199283",208,"PAIRED",6038,"SRR601669","SRS333465","GTEX-NPJ8-1526-SM-2D7VU","Brain - Cortex",735959,590926
"104","RNA-Seq","GRCh37","SAMN00992664","SRX199200",207,"PAIRED",9693,"SRR601671","SRS333176","GTEX-OIZH-1626-SM-2HMKI","Muscle - Skeletal",736092,590936
"105","RNA-Seq","GRCh37","SAMN00993075","SRX199285",227,"PAIRED",13950,"SRR601695","SRS333587","GTEX-NPJ8-1626-SM-2HMIY","Muscle - Skeletal",735961,590926
"106","RNA-Seq","GRCh37","SAMN00992986","SRX199289",194,"PAIRED",12219,"SRR601723","SRS333498","GTEX-O5YV-0526-SM-2I5GE","Lung",735972,590927
"107","RNA-Seq","GRCh37","SAMN00992547","SRX199299",172,"PAIRED",10749,"SRR601755","SRS333059","GTEX-OHPN-0011-R3A-SM-2I5FC","Brain - Anterior cingulate cortex (BA24)",736037,590933
"108","RNA-Seq","GRCh37","SAMN00992870","SRX199301",163,"PAIRED",15714,"SRR601787","SRS333382","GTEX-NL3H-0011-R2a-SM-2I3GG","Brain - Substantia nigra",735881,590923
"109","RNA-Seq","GRCh37","SAMN00992747","SRX199308",202,"PAIRED",18453,"SRR601815","SRS333259","GTEX-OHPM-1626-SM-2HMK4","Muscle - Skeletal",736024,590932
"110","RNA-Seq","GRCh37","SAMN00992538","SRX199314",175,"PAIRED",11655,"SRR601843","SRS333050","GTEX-OXRL-2626-SM-2I3F1","Thyroid",736138,590940
"111","RNA-Seq","GRCh37","SAMN00993037","SRX199226",0,"SINGLE",9802,"SRR601868","SRS333549","GTEX-O5YW-0326-SM-2I5EI","Heart - Left Ventricle",735979,590928
"112","RNA-Seq","GRCh37","SAMN00992798","SRX199318",180,"PAIRED",7870,"SRR601900","SRS333310","GTEX-OHPJ-1026-SM-2HMLE","Lung",735992,590929
"113","RNA-Seq","GRCh37","SAMN00992423","SRX199133",185,"PAIRED",14845,"SRR601925","SRS332935","GTEX-OHPK-0526-SM-2HMJB","Lung",736001,590930
"114","RNA-Seq","GRCh37","SAMN00992517","SRX199142",179,"PAIRED",7181,"SRR601962","SRS333029","GTEX-QDVN-0626-SM-2I3FP","Thyroid",736443,590968
"115","RNA-Seq","GRCh37","SAMN00992640","SRX199145",177,"PAIRED",7625,"SRR601986","SRS333152","GTEX-OIZG-1126-SM-2HMIU","Heart - Left Ventricle",736078,590935
"116","RNA-Seq","GRCh37","SAMN00992885","SRX199146",211,"PAIRED",9263,"SRR602010","SRS333397","GTEX-OIZG-1326-SM-2HMIQ","Muscle - Skeletal",736080,590935
"117","RNA-Seq","GRCh37","SAMN00993119","SRX199154",205,"PAIRED",7100,"SRR602034","SRS333631","GTEX-Q2AI-0006-SM-2I3FG","Whole Blood",736409,590964
"118","RNA-Seq","GRCh37","SAMN00992667","SRX199159",187,"PAIRED",8495,"SRR602058","SRS333179","GTEX-OOBK-0526-SM-2HMJJ","Lung",736108,590938
"119","RNA-Seq","GRCh37","SAMN00992997","SRX199163",195,"PAIRED",7427,"SRR602082","SRS333509","GTEX-OIZH-0126-SM-2HMIS","Skin - Sun Exposed (Lower leg)",736085,590936
"120","RNA-Seq","GRCh37","SAMN00992940","SRX199166",181,"PAIRED",9432,"SRR602106","SRS333452","GTEX-NFK9-0926-SM-2HMJU","Heart - Left Ventricle",735868,590922
"121","RNA-Seq","GRCh37","SAMN00992890","SRX199168",173,"PAIRED",27176,"SRR602131","SRS333402","GTEX-OHPN-0011-R8A-SM-2I5FJ","Brain - Hypothalamus",736047,590933
"122","RNA-Seq","GRCh37","SAMN00992847","SRX199175",174,"PAIRED",8107,"SRR602169","SRS333359","GTEX-Q2AG-0011-R1A-SM-2HMJI","Brain - Hippocampus",736371,590962
"123","RNA-Seq","GRCh37","SAMN00993033","SRX199176",173,"PAIRED",7265,"SRR602193","SRS333545","GTEX-NL4W-0011-R8a-SM-2I3G4","Brain - Hypothalamus",735910,590924
"124","RNA-Seq","GRCh37","SAMN00993116","SRX199187",0,"SINGLE",9907,"SRR602217","SRS333628","GTEX-QESD-0006-SM-2I5G6","Whole Blood",736471,590971
"125","RNA-Seq","GRCh37","SAMN00992793","SRX199193",158,"PAIRED",7033,"SRR602271","SRS333305","GTEX-OXRO-0011-R5A-SM-2I5EG","Brain - Caudate (basal ganglia)",736162,590942
"126","RNA-Seq","GRCh37","SAMN00992814","SRX199282",0,"SINGLE",8793,"SRR602282","SRS333326","GTEX-Q734-1926-SM-2I5EV","Skin - Sun Exposed (Lower leg)",736424,590965
"127","RNA-Seq","GRCh37","SAMN00992839","SRX199385",181,"PAIRED",7000,"SRR602314","SRS333351","GTEX-NPJ7-0011-R10A-SM-2I3E5","Brain - Frontal Cortex (BA9)",735914,590925
"128","RNA-Seq","GRCh37","SAMN00992905","SRX199389",197,"PAIRED",12447,"SRR602338","SRS333417","GTEX-OIZH-2626-SM-2HMJM","Thyroid",736094,590936
"129","RNA-Seq","GRCh37","SAMN00992611","SRX199293",177,"PAIRED",6843,"SRR602365","SRS333123","GTEX-N7MT-0011-R3a-SM-2I3GC","Brain - Anterior cingulate cortex (BA24)",735844,590921
"130","RNA-Seq","GRCh37","SAMN00992846","SRX199108",184,"PAIRED",6978,"SRR602389","SRS333358","GTEX-PWCY-2326-SM-2I3EQ","Thyroid",736318,590957
"131","RNA-Seq","GRCh37","SAMN00993089","SRX199209",193,"PAIRED",8064,"SRR602437","SRS333601","GTEX-OIZH-0326-SM-2HMKC","Heart - Left Ventricle",736088,590936
"132","RNA-Seq","GRCh37","SAMN00992819","SRX199213",173,"PAIRED",16429,"SRR602461","SRS333331","GTEX-OOBJ-0326-SM-2I3F8","Heart - Left Ventricle",736100,590937
"133","RNA-Seq","GRCh37","SAMN00993126","SRX199219",194,"PAIRED",6846,"SRR602492","SRS333638","GTEX-P4QS-0526-SM-2I3ET","Lung",736244,590948
"134","RNA-Seq","GRCh37","SAMN00992674","SRX199220",175,"PAIRED",7383,"SRR602516","SRS333186","GTEX-NL3H-0011-R10A-SM-2I3E9","Brain - Frontal Cortex (BA9)",735874,590923
"135","RNA-Seq","GRCh37","SAMN00992485","SRX199131",177,"PAIRED",8683,"SRR602540","SRS332997","GTEX-Q2AG-0011-R7A-SM-2HMJP","Brain - Putamen (basal ganglia)",736383,590962
"136","RNA-Seq","GRCh37","SAMN00992718","SRX199426",233,"PAIRED",11893,"SRR602564","SRS333230","GTEX-P78B-0005-SM-2I5GM","Whole Blood",736260,590950
"137","RNA-Seq","GRCh37","SAMN00992427","SRX199427",170,"PAIRED",7138,"SRR602598","SRS332939","GTEX-Q2AG-0011-R9A-SM-2HMJ6","Brain - Spinal cord (cervical c-1)",736387,590962
"138","RNA-Seq","GRCh37","SAMN00992469","SRX199431",169,"PAIRED",7109,"SRR602622","SRS332981","GTEX-NL4W-0011-R5a-SM-2I3GD","Brain - Caudate (basal ganglia)",735906,590924
"139","RNA-Seq","GRCh37","SAMN00992597","SRX199435",200,"PAIRED",13355,"SRR602646","SRS333109","GTEX-QDVJ-1726-SM-2I5FX","Skin - Sun Exposed (Lower leg)",736438,590967
"140","RNA-Seq","GRCh37","SAMN00992975","SRX199442",186,"PAIRED",6852,"SRR602680","SRS333487","GTEX-QCQG-0326-SM-2I3ES","Lung",736428,590966
"141","RNA-Seq","GRCh37","SAMN00992658","SRX199445",175,"PAIRED",9167,"SRR602704","SRS333170","GTEX-Q2AG-0011-R10A-SM-2HMLA","Brain - Frontal Cortex (BA9)",736367,590962
"142","RNA-Seq","GRCh37","SAMN00992779","SRX199448",206,"PAIRED",8088,"SRR602728","SRS333291","GTEX-Q2AG-0011-R3A-SM-2HMJ9","Brain - Anterior cingulate cortex (BA24)",736375,590962
